n0,g62,g28
n1,g56,g49
n2,g77,g26
n3,g0,g6
n4,g88,g9
n5,g59,g41
n6,g36,g25
n7,g9,g57
n8,g76,g93
n9,g74,g94
n10,g72,g55
n11,g82,g50
n12,g83,g53
n13,g2,g17
n14,g91,g54
n15,g74,g79
n16,g20,g37
n17,g11,g96
n18,g66,g5
n19,g2,g15
n20,g96,g89
n21,g0,g82
n22,g34,g9
n23,g68,g63
n24,g65,g35
n25,g0,g66
n26,g16,g25
n27,g67,g98
n28,g69,g37
n29,g16,g39
n30,g5,g23
n31,g68,g5
n32,g61,g77
n33,g74,g45
n34,g84,g76
n35,g42,g38
n36,g17,g70
n37,g59,g96
n38,g30,g7
n39,g8,g21
n40,g6,g63
n41,g58,g38
n42,g14,g67
n43,g7,g97
n44,g90,g30
n45,g85,g21
n46,g78,g42
n47,g96,g0
n48,g9,g98
n49,g90,g94
n50,g65,g55
