n0,g7,g27
n1,g98,g27
n2,g59,g78
n3,g67,g24
n4,g67,g42
n5,g25,g81
n6,g35,g85
n7,g93,g39
n8,g38,g19
n9,g50,g54
n10,g21,g5
n11,g23,g6
n12,g43,g29
n13,g58,g39
n14,g24,g6
n15,g87,g53
n16,g30,g22
n17,g66,g73
n18,g73,g82
n19,g40,g85
n20,g34,g2
n21,g56,g93
n22,g27,g28
n23,g16,g30
n24,g98,g13
n25,g23,g63
n26,g21,g28
n27,g51,g37
n28,g87,g55
n29,g74,g71
n30,g64,g87
n31,g17,g74
n32,g29,g95
n33,g14,g56
n34,g55,g68
n35,g69,g6
n36,g26,g21
n37,g35,g40
n38,g58,g46
n39,g23,g22
n40,g81,g6
n41,g52,g47
n42,g32,g12
n43,g97,g46
n44,g13,g9
n45,g52,g6
n46,g24,g53
n47,g17,g13
n48,g75,g94
