n70,g96,g65
n65,g2,g40
n6,g41,g47
n35,g57,g27
n4,g91,g38
n32,g25,g41
n72,g78,g96
n83,g3,g69
n74,g92,g48
n26,g87,g73
n21,g66,g24
n60,g61,g68
n20,g43,g60
n73,g89,g56
n51,g49,g41
n69,g1,g40
n71,g91,g39
n28,g52,g24
n77,g42,g55
n14,g82,g33
n45,g75,g56
n39,g94,g32
n5,g73,g9
n23,g52,g91
n24,g47,g94
n54,g9,g19
n16,g7,g70
n82,g15,g56
n17,g7,g93
n18,g50,g69
n63,g61,g22
n9,g67,g80
n25,g10,g20
n30,g42,g48
n31,g40,g95
n10,g62,g53
n43,g62,g87
n68,g37,g53
n34,g44,g74
n8,g7,g87
n79,g17,g22
n53,g27,g1
n55,g17,g2
n38,g11,g75
n33,g97,g33
n62,g40,g13
n11,g85,g47
n27,g27,g54
n50,g54,g7
n44,g72,g80
n12,g62,g0
n67,g46,g37
n75,g39,g3
n80,g97,g83
n0,g42,g77
n22,g76,g93
n81,g99,g75
n58,g3,g44
n36,g53,g89
n42,g92,g69
n61,g3,g49
n78,g67,g33
n3,g16,g69
n29,g35,g18
n47,g15,g11
n49,g20,g71
n52,g67,g61
n59,g76,g35
n57,g49,g24
n66,g42,g78
n37,g8,g31
n13,g89,g71
n40,g43,g85
n19,g53,g23
n46,g33,g73
n7,g48,g91
n15,g85,g10
n48,g6,g70
n41,g19,g14
n76,g41,g91
n64,g14,g82
n56,g47,g44
n2,g39,g10
n1,g44,g30
