n0,g39,g79
n1,g45,g62
n2,g6,g42
n3,g6,g70
n4,g41,g72
n5,g1,g38
n6,g36,g95
n7,g58,g88
n8,g42,g12
n9,g51,g46
n10,g97,g82
n11,g73,g91
n12,g37,g92
n13,g9,g58
n14,g87,g94
n15,g69,g95
n16,g14,g91
n17,g65,g68
n18,g87,g46
n19,g86,g5
n20,g84,g92
n21,g37,g87
n22,g42,g3
n23,g7,g44
n24,g51,g91
n25,g63,g3
n26,g23,g62
n27,g97,g20
n28,g50,g72
n29,g5,g51
n30,g27,g2
n31,g61,g95
n32,g53,g58
n33,g60,g81
n34,g88,g40
n35,g72,g26
n36,g86,g47
n37,g78,g45
n38,g9,g6
n39,g84,g6
n40,g83,g82
n41,g88,g11
n42,g81,g2
n43,g39,g57
n44,g0,g97
n45,g0,g4
n46,g51,g84
n47,g7,g99
n48,g31,g23
n49,g28,g14
n50,g6,g30
n51,g27,g7
n52,g93,g36
n53,g61,g97
n54,g73,g48
n55,g15,g50
n56,g87,g80
n57,g3,g92
n58,g45,g46
